지번주소,도로명주소
서울특별시 노원구 상계동 706-1 2층,"서울특별시 노원구 노해로75길 20-21 (상계동,2층)"
서울특별시 노원구 상계동 710 문화빌딩 지하1층,"서울특별시 노원구 노해로77길 14-3, 지하1층 (상계동, 문화빌딩)"
서울특별시 노원구 상계동 730-5 지하2호,"서울특별시 노원구 동일로 1393, 지하층 지하2호 (상계동)"
서울특별시 노원구 상계동 711-9 노블레스관광호텔 3층,"서울특별시 노원구 노해로77길 22, 노블레스관광호텔 3층 (상계동)"
서울특별시 노원구 상계동 734-4번지 동방빌딩 ,"서울특별시 노원구 노해로 456, 동방빌딩 지하층 (상계동)"
"서울특별시 노원구 상계동 724-3번지 지하1층 2,3,4호 ","서울특별시 노원구 노해로 494, 지하1층 2,3,4호 (상계동)"
서울특별시 노원구 상계동 728-1번지 지하1층 ,"서울특별시 노원구 동일로 1396 (상계동,지하1층)"
서울특별시 노원구 상계동 711-13 ,서울특별시 노원구 동일로 1417 (상계동)
서울특별시 노원구 상계동 707-1번지 ,서울특별시 노원구 노해로75길 14-19 (상계동)
서울특별시 노원구 상계동 709-1번지 은성빌딩 ,"서울특별시 노원구 노해로 457, 은성빌딩 지하1층 (상계동)"
서울특별시 노원구 상계동 724-2 프린스빌딩 ,"서울특별시 노원구 노해로 492, 프린스빌딩 지하1층 (상계동)"
서울특별시 노원구 상계동 711-9번지 지하2층 ,"서울특별시 노원구 노해로77길 22, 지하2층 (상계동)"
서울특별시 노원구 상계동 708-2,서울특별시 노원구 노해로75길 14-22 (상계동)
서울특별시 노원구 상계동 708,"서울특별시 노원구 노해로75길 14-18, 지하1층 (상계동)"
서울특별시 노원구 상계동 707-3 지하1층,"서울특별시 노원구 노해로75길 14-25 (상계동,지하1층)"
서울특별시 노원구 상계동 704-3 유남빌딩 지하,"서울특별시 노원구 노해로75길 14-12 (상계동,유남빌딩 지하)"
서울특별시 노원구 상계동 705-0,서울특별시 노원구 노해로 447 (상계동)
서울특별시 노원구 상계동 710-2 ,서울특별시 노원구 노해로77길 14-7 (상계동)
서울특별시 노원구 상계동 724-1 길빌딩,"서울특별시 노원구 노해로 490, 길빌딩 3층 304, 305호 (상계동)"
서울특별시 노원구 상계동 708,"서울특별시 노원구 노해로75길 14-18, 2층 (상계동, 도영빌딩)"
서울특별시 노원구 상계동 724-1 길빌딩,"서울특별시 노원구 노해로 490, 길빌딩 7층 (상계동)"
서울특별시 도봉구 창동 12-1,서울특별시 도봉구 노해로69길 21-11 (창동)
서울특별시 도봉구 창동 3-3 3층 303호,"서울특별시 도봉구 마들로11길 73, 3층 303호 (창동)"
서울특별시 도봉구 창동 3-4,"서울특별시 도봉구 마들로11길 71, 지하1층 (창동)"
서울특별시 도봉구 창동 13,"서울특별시 도봉구 마들로11길 65, 지하2층 (창동, 유진빌딩)"
서울특별시 도봉구 창동 3-3번지 ,"서울특별시 도봉구 마들로11길 73, 지하1층 3호,4호 (창동)"
"서울특별시 도봉구 창동 3-3 콤마빌딩 지하층 1,2호 ","서울특별시 도봉구 마들로11길 73, 지하층 1,2호 (창동, 콤마빌딩)"
서울특별시 도봉구 창동 13번지 ,"서울특별시 도봉구 마들로11길 65, 지하1층 1호 (창동, 유진빌딩)"
서울특별시 도봉구 창동 10-1번지 ,"서울특별시 도봉구 노해로69길 15-15, 지하1층 (창동, 점보빌딩(27,28,29,30,39,40,42,43호))"
서울특별시 도봉구 창동 13-2 B101호,"서울특별시 도봉구 마들로11길 57, B1층 101호 (창동, EQ 빌딩)"
서울특별시 도봉구 창동 13번지 ,"서울특별시 도봉구 마들로11길 65, 지하층 3호 (창동, 유진빌딩)"
서울특별시 도봉구 창동 10-3번지 ,"서울특별시 도봉구 노해로69길 15, 5층 (창동, 세정빌딩)"
서울특별시 도봉구 창동 6-1 (지하1층) ,"서울특별시 도봉구 마들로11가길 13-6, 지하1층 (창동)"
"서울특별시 도봉구 창동 6번지 콤마빌딩 지하1층(2,3,4,5,6,7,25,26호) ","서울특별시 도봉구 마들로11가길 15, 지하1층 2,3,4,5,6,7,25,26호 (창동, 콤마빌딩)"
서울특별시 도봉구 창동 6번지 콤마빌딩 2층 202호 ,"서울특별시 도봉구 마들로11가길 15, 2층 202호 (창동)"
서울특별시 도봉구 창동 16번지 지하1층 ,"서울특별시 도봉구 노해로 389, 지하1층 (창동, 제일빌딩)"
서울특별시 도봉구 창동 9-2번지 ,"서울특별시 도봉구 노해로 381, 지하1층 (창동)"
서울특별시 도봉구 창동 331-2번지 ,"서울특별시 도봉구 노해로65길 17, 지하1층 101호 (창동, 중앙빌딩)"
서울특별시 도봉구 창동 10-3번지 세정빌딩 ,"서울특별시 도봉구 노해로69길 15, 세정빌딩 지하1층 (창동)"
서울특별시 도봉구 창동 10-1 ,"서울특별시 도봉구 노해로69길 15-15, 104호 (창동, 점보빌딩)"
서울특별시 중랑구 상봉동 89-17,"서울특별시 중랑구 봉우재로33길 79 (상봉동, 3층)"
서울특별시 중랑구 상봉동 91-1,서울특별시 중랑구 망우로 326 (상봉동)
서울특별시 중랑구 상봉동 106-24 ,서울특별시 중랑구 봉우재로 127 (상봉동)
서울특별시 중랑구 상봉동 91-1 ,서울특별시 중랑구 망우로 326 (상봉동)
서울특별시 중랑구 상봉동 89-1번지 ,서울특별시 중랑구 망우로50길 15 (상봉동)
서울특별시 중랑구 상봉동 89-17번지 ,서울특별시 중랑구 봉우재로33길 79 (상봉동)
서울특별시 중랑구 묵동 238-9 ,서울특별시 중랑구 동일로 923 (묵동)
서울특별시 중랑구 상봉동 90-10번지 ,서울특별시 중랑구 망우로50길 30 (상봉동)
서울특별시 중랑구 상봉동 89-1번지 ,"서울특별시 중랑구 망우로50길 15 (상봉동, 3층)"
서울특별시 중랑구 묵동 245-6번지 ,서울특별시 중랑구 동일로 859 (묵동)
서울특별시 중랑구 상봉동 88-92번지 ,서울특별시 중랑구 봉우재로33길 74 (상봉동)
서울특별시 중랑구 면목동 611-3번지 ,서울특별시 중랑구 면목로 318 (면목동)
서울특별시 중랑구 면목동 604-44 ,서울특별시 중랑구 사가정로 379 (면목동)
서울특별시 중랑구 상봉동 89-16 ,서울특별시 중랑구 망우로50길 33 (상봉동)
서울특별시 중랑구 면목동 604-41번지 ,서울특별시 중랑구 사가정로 377 (면목동)
서울특별시 중랑구 상봉동 92-2,서울특별시 중랑구 망우로 328 (상봉동)
서울특별시 중랑구 묵동 182-21,서울특별시 중랑구 동일로 852 (묵동)
서울특별시 성북구 보문동4가 77-2번지 외3필지(76번지포함) ,"서울특별시 성북구 보문로 78 (보문동4가, 지하1층)"
서울특별시 성북구 종암동 3-1235번지 ,서울특별시 성북구 종암로22길 7 (종암동)
서울특별시 성북구 동소문동6가 133-2번지 (지하1층) ,"서울특별시 성북구 아리랑로 3 (동소문동6가,(지하1층))"
서울특별시 성북구 동선동4가 7 외 1필지 ,"서울특별시 성북구 아리랑로 4 (동선동4가,외 1필지)"
서울특별시 성북구 동소문동5가 85번지 ,서울특별시 성북구 동소문로20길 12 (동소문동5가)
서울특별시 성북구 동선동1가 2-12번지 ,서울특별시 성북구 동소문로20나길 3 (동선동1가)
서울특별시 성북구 보문동4가 77-2번지 브라운관광호텔 지하1층 ,"서울특별시 성북구 보문로 78 (보문동4가,브라운관광호텔 지하1층)"
서울특별시 성북구 길음동 877-195번지 ,서울특별시 성북구 동소문로 225-3 (길음동)
